bigram;score
allin;4
allon;4
arefucked;-3
backdown;-2
backin;3
backup;2
badnews;-2.5
bagholder;-2.5
bagholders;-2.5
bagholding;-2.5
beartrap;2
beartraps;2
betagainst;-4
beton;3
betson;3
bettingagainst;-4
bettingon;3
biggains;2.5
bigshort;0
blastingoff;2.5
blastoff;2.5
blastsoff;2.5
blockedbuy;-3
blockedbuying;-3
blockedbuys;-3
boughtputs;-4
bounceback;2
bouncesback;2
bouncingback;2
breakingout;2
breakout;2.5
breaksout;2.5
bulltrap;-2
bulltraps;-2
buyingpower;0
buyingputs;-4
buyputs;-4
cashedout;-4
cashesout;-3
cashingout;-4
cashout;-4
coveredcalls;2
diamondhand;4
diamondhanded;4
diamondhanding;4
diamondhands;4
downfor;0
downon;2
earningcall;0
earningcalls;0
earningscall;0
earningscalls;0
easymoney;3
everythingin;4
exitstrategies;-2.5
exitstrategy;-2.5
forlife;2.5
forlong;0
freemoney;4
fuckingus;-2.5
fuckrobinhood;-2
getback;3
getfucked;-3
getout;-3
getrich;2
getsfucked;-3
gettingback;3
gettingfucked;-3
gettinghammered;-3
gettingout;-4
gettingrich;2
givenup;-3
giveup;-2.5
givingup;-2.5
godown;-2
goesdown;-2
goesout;-3
goesup;2
gohard;2
goingdown;-2
goingout;-3
goingup;3
goingup;2
goingwild;2.5
goodlong;0
goodnews;2
goout;-3
gotfucked;-1.5
gotin;3
gotits;2
goup;2
greendildo;4
greendildos;4
greenenergy;0
haltedbuy;-3
haltedbuy;-3
haltedbuying;-3
haltedbuys;-3
haltedbuys;-3
highsell;1
hitup;2
holdingputs;-3
honestwork;2
howlong;0
ilike;2
imin;3
isback;2
isfucked;-3
isnext;2
keepgoing;2
killingit;2
letsgo;2
lifesavings;4
liftingoff;2
liftoff;2
liftsoff;2
limitedbuy;-3
limitedbuy;-3
limitedbuying;-3
limitedbuys;-3
limitedbuys;-3
longbefore;0
longdated;0
longenough;0
longlive;0
longrun;0
longterm;0
longtime;0
longway;0
loseall;-2.5
losemoney;-2.5
losingall;-2.5
losingmoney;-2.5
lostall;-1.5
lowprice;2
makemoney;2
makingmoney;2
margincall;0
margincalled;0
margincalls;0
missedout;-1.5
missingout;-2
moneyinto;3
movingon;2
nextbig;3
nextis;2
nexttarget;2
nicestock;2.5
onfire;3
outof;-3
paperhand;-2.5
paperhanded;-2.5
paperhands;-2.5
pulledout;-3
pullingout;-3
pullout;-3
putinto;3
putmoney;3
putoptions;-4
putsyou;0
ratecut;2
ratecuts;2
restrictedbuying;-3
restrictedbuys;-3
restrictetbuy;-3
ridof;-4
rocketship;4
rocketships;4
runingout;-2
runout;-2
sellcalls;-4
sellingcalls;-4
sellingputs;4
sellputs;4
shortladder;0
shortseller;0
shortsellers;0
shortsqueeze;4
shortsqueezes;4
shortsqzeez;4
shortterm;0
soldcalls;-4
soldout;0
soldputs;4
staystrong;2
stepinto;2
stillin;2
stocksjust;2
stocksonly;2
stonksjust;2
stonksonly;2
stopbuying;-3
stoploss;0
stoppedbuy;-3
stoppedbuying;-3
stoppedbuys;-3
stoppushing;-2.5
surebet;2.5
takeoff;2
takesoff;2
takingoff;2
theway;2.5
timebomb;-3
titsup;2.5
togetherstrong;3
toiletpaper;0
toolate;-2
toolong;0
verylong;0
welike;2
wentdown;-2
wentup;1.5
wipedout;-3
worthit;2
